unemployed area_buildings births deaths moves_in moves_out cars trucks motorbikes buildings_until_1900 buildings_1900-1918 buildings_1919-1948 buildings_1949-1957 buildings_1958-1962 buildings_1963-1972 buildings_1973-1982 buildings_1983-1992 buildings_1993-2001 households children male female social_insurance benefits age_under_26 age_26-35 age_36-45 age_46-55 age_56-65 age_above_65
Rombergpark 1 12755 1 135 38 12 69 0 2 0 1 2 3 4 1 6 1 1 4 6 36 33 25 6 1 1 9 7 8 43
Lucklemberg 98 230158 36 62 134 164 2565 36 157 41 31 80 170 82 265 218 161 153 450 720 1535 1097 1175 31 63 281 544 612 584 548
Menglinghausen 136 88933 20 22 135 62 1062 56 74 19 17 7 36 102 30 85 9 77 280 444 724 408 650 203 34 191 338 251 155 163
Bovinghausen 456 191787 50 42 161 210 1928 75 155 39 125 136 48 151 89 87 18 45 674 1179 1444 611 1631 591 114 394 525 449 311 262
Kley 157 122721 20 25 83 93 1463 46 160 9 46 49 177 59 85 21 27 60 405 616 947 470 1089 111 57 200 365 329 247 219
Holte-Kreta 90 49920 8 13 39 46 495 25 71 11 11 34 112 43 8 17 5 3 113 168 360 180 410 43 22 96 137 128 77 80
Deipenbeck 246 186411 46 91 154 153 2208 61 216 45 39 181 112 41 166 100 29 117 575 874 1536 836 1741 218 89 357 676 558 369 323
Lutgendortmund-Mitte 408 218898 43 126 290 215 2489 121 254 84 91 68 49 41 107 108 186 94 798 1293 1729 919 2198 353 119 483 705 650 423 268
Lutgendortmund-Ost 546 243193 68 70 334 254 2784 141 248 128 102 101 115 81 105 118 117 77 820 1321 1933 942 2429 556 166 591 733 682 401 302
Lutgendortmund-West 161 61932 19 22 75 98 721 38 59 29 29 28 4 23 59 7 4 3 161 267 463 223 528 225 48 117 156 127 143 95
Somborn 44 20094 5 8 42 30 250 11 42 18 19 37 0 2 2 6 0 6 60 101 172 102 207 33 15 57 66 74 42 20
Germania 352 128956 42 43 121 109 1349 155 112 22 33 38 395 13 15 19 18 32 456 757 905 403 1131 345 78 267 312 286 166 199
Marten 383 193816 51 57 202 147 1990 162 196 105 112 130 113 51 58 54 121 31 575 939 1382 714 1703 396 105 374 566 496 298 257
Oespel 180 157170 28 33 210 198 2112 134 195 57 38 141 110 84 182 86 119 67 481 778 1274 671 1368 122 53 301 481 471 335 304
Westrich 118 93214 11 22 95 84 1143 23 132 21 9 131 88 96 28 57 26 29 331 475 808 420 896 91 50 159 372 296 196 155
Deusen 83 75106 19 11 33 47 878 103 112 12 6 215 34 11 25 22 24 111 286 510 605 312 692 58 37 163 282 249 90 96
Mailoh 460 191547 87 56 141 149 1944 57 203 23 61 175 269 28 44 47 198 43 828 1431 1438 661 1809 451 129 359 539 568 296 208
Erpinghofsiedlung 216 78080 34 32 54 36 699 11 75 2 3 87 259 5 5 15 9 58 299 507 560 212 687 219 35 153 214 168 112 90
Wischlingen 98 51654 8 13 35 41 576 28 66 22 4 101 30 20 49 26 11 6 141 217 423 202 437 70 25 106 159 120 116 99
Huckarde 169 92305 26 63 87 59 1008 37 107 63 36 22 65 24 24 51 4 50 348 540 706 361 832 148 61 237 277 198 155 139
Insterburgsiedlung 206 112344 32 35 99 76 1127 23 108 23 25 4 107 4 87 2 8 148 409 723 896 328 993 155 53 263 360 221 161 166
Jungferntal 339 176989 43 63 84 118 2020 15 200 8 4 1 173 232 112 118 3 43 668 1062 1514 686 1679 284 92 355 567 470 378 338
Rahm 61 41303 11 17 24 10 513 11 54 11 5 0 0 6 90 60 4 5 120 170 369 170 406 18 20 68 140 141 76 94
Kirchlinde-Alt 235 112559 40 35 123 84 1215 52 104 69 62 94 29 20 74 31 15 48 399 624 898 413 1067 184 71 247 317 289 230 157
Siedlung_Siepmannstrasse 206 89542 29 27 61 70 1026 4 63 7 1 0 16 4 180 7 23 61 416 686 730 369 919 221 49 160 304 280 155 151
Hangeney 212 139909 45 81 103 76 1819 216 192 48 24 15 474 62 44 33 55 138 545 910 1232 695 1424 115 85 337 595 447 235 228
Bodelschwingh 458 218083 49 65 165 178 2611 151 252 66 65 95 173 70 175 59 156 85 844 1331 1905 819 2005 413 135 453 709 664 446 317
Bruninghausen_Knepper 18 10819 5 4 3 8 123 2 10 14 7 6 22 0 4 6 3 2 29 45 91 45 89 5 8 16 39 32 28 13
Mengeder_Heide 110 108256 19 29 60 63 1474 43 178 19 22 78 87 39 177 116 37 109 337 525 1014 593 951 36 38 258 438 348 316 209
Mengede-Mitte 283 142498 37 100 161 157 1433 144 134 72 78 62 110 68 94 47 25 13 449 732 1021 491 1210 242 72 266 365 321 255 233
Alte_Kolonie 265 101164 30 38 67 62 919 29 114 74 361 20 120 9 10 53 68 60 395 704 742 300 953 223 50 194 311 236 142 109
Nette 429 214830 49 64 137 147 2237 59 224 92 96 44 385 94 99 122 38 17 703 1188 1702 700 1819 519 127 352 543 608 430 342
Oestrich 413 207634 38 64 184 209 2270 200 241 67 181 192 61 59 44 183 37 77 737 1203 1527 710 1838 391 118 400 613 505 340 261
Groppenbruch 9 11475 4 2 3 8 172 37 21 17 13 9 4 1 2 2 17 8 51 101 105 70 121 8 2 36 52 39 28 18
Schwieringhausen 9 6705 2 2 6 8 71 3 11 6 11 12 8 0 0 2 1 0 19 29 49 30 53 3 2 13 20 20 12 12
Ellinghausen 6 6586 0 1 10 14 73 8 14 13 10 5 2 1 0 2 1 1 26 47 63 25 67 1 1 17 33 19 10 8
Niedernette 2 3277 0 2 0 2 45 4 3 7 3 4 1 1 1 0 0 0 6 7 26 22 21 0 3 2 16 13 6 8
Westerfilde 606 226053 52 97 196 168 2279 53 208 21 78 29 271 109 103 120 71 33 976 1588 1769 712 2119 935 135 364 654 648 391 289
